name	label
Education	0
B.E.	0
in	0
Technology	Degree
K.S.Rangasamy	Institute
College	Institute
	0
	0
-	0
	0
	0
Tiruchengode,	0
TAMIL	Institute
NADU,	0
IN	Institute
2016	Time
HSC	Degree
Rajavignesh	Institute
Hr	Institute
Sec	Institute
School	Institute
2012	Time
SSLC	Degree
Government	Institute
high	Institute
School	Institute
2010	Time
Education	0
B.Tech	Degree
in	0
civil	Degree
engineer	Degree
Ramaiah	Institute
university	Institute
of	0
applied	Institute
science	Institute
bangalore	Institute
	0
	0
-	0
	0
	0
Bengaluru,	0
Karnataka	Institute
August	Time
2017	Time
to	0
December	Time
2021	Time
Diploma	Degree
in	0
Civil	Degree
Engg	Degree
Prasanna	Institute
Polytechnic	Institute
Laila,	0
ujire	Institute
	0
	0
-	0
	0
	0
Bengaluru,	0
Karnataka	Institute
2014	Time
to	0
2017	Time
Department	0
of	0
pre-university	0
education	0
2011	0
to	0
2012	0
ST.George	0
pu	0
college	0
nellyadi,	0
puttur	0
taluk	0
D	0
K	0
DIST	0
Education	0
Diploma	Degree
in	0
Civil	Degree
Engineering	Degree
Kalinga	Institute
university	Institute
2013	Time
to	0
2016	Time
Diploma	Degree
in	0
Civil	Degree
Engineering	Degree
Bangalore	Institute
university	Institute
	0
	0
-	0
	0
	0
Bengaluru,	0
Karnataka	Institute
2000	Time
to	0
2003	Time
12TH	Degree
Department	Institute
of	0
pre-university	Institute
education	Institute
1998	Time
to	0
2000	Time
SSLC	0
in	0
education	Institute
Karnataka	Institute
secondary	0
1996	0
to	0
1998	Time
B'	0
TECH	0
in	0
TECH	0
in	0
Civil	Degree
Engineering	Degree
Education	0
B.Tech	Degree
CIVIL	Institute
CBSE	Degree
DAV	Institute
School	Institute
CBSE	Degree
in	0
Concrete	Degree
Mix	Degree
Design	Degree
by	0
Ambuja	Degree
Cement	Degree
DAV	Institute
School	Institute
	0
	0
-	0
	0
	0
Ambala,	0
Haryana	Institute
Management	0
Indian	0
Institute	0
of	0
Technology	0
	0
	0
-	0
	0
	0
Chennai,	0
Tamil	0
Nadu	0
Education	0
BE	Degree
in	0
Civil	Degree
RGPV	Institute
BHOPAL	Institute
	0
	0
-	0
	0
	0
Bhopal,	0
Madhya	Institute
Pradesh	Institute
2012	Time
Education	0
B.A.	0
Jai	Institute
Narayan	Institute
Vyash	Institute
University	Institute
of	0
Jodhpur	Institute
	0
	0
-	0
	0
	0
Jodhpur,	0
Rajasthan	Institute
2006	Time
to	0
2009	Time
Education	0
Bachelor	Degree
in	0
civil	Degree
engineering	Degree
MD	Institute
University	Institute
CBSE	Degree
Pragati	Institute
International	Institute
School	Institute
	0
	0
-	0
	0
	0
Ghaziabad,	0
Uttar	Institute
Pradesh	Institute
Education	0
BE	Degree
in	0
Civil	Degree
&	Degree
Structural)	0
engineering	Degree
(PT)	0
Annamlai	Institute
University	Institute
2012	Time
Education	0
B.	0
Tech	Degree
in	0
Civil	Degree
Engineering	Degree
in	0
Civil	Degree
Engineering	Degree
DCRUST	Institute
UNIVERSITY	Institute
MURTHAL	Institute
HARYANA	Institute
2012	Time
to	0
2016	Time
Education	0
B.Tch	Degree
in	0
Civil	Degree
Engineering	Degree
Mahathma	Institute
Gandhi	Institute
Univerasity	Institute
	0
	0
-	0
	0
	0
Ernakulam,	0
Kerala	Institute
July	Time
2010	Time
to	0
May	Time
2014	Time
Education	0
Diploma	Degree
in	0
"""Architectural"	0
"Assistantship"""	0
Govt.	0
Polytechnic	Institute
Hardoi	Institute
	0
	0
-	0
	0
	0
Hardoi,	0
Uttar	Institute
Pradesh	Institute
2014	Time
B.Sc.	0
CSJM	Institute
University	Institute
	0
	0
-	0
	0
	0
Kanpur,	0
Uttar	Institute
Pradesh	Institute
2007	Time
E4U	0
Institute	0
Delhi	0
	0
	0
-	0
	0
	0
Allahabad,	0
Uttar	Institute
Pradesh	Institute
